player_id,archetype
695578,1
621493,3
683002,4
608324,3
677594,4
677951,5
663538,0
545361,1
701762,1
608070,5
624413,1
687263,2
671056,0
670541,1
683737,3
668804,1
621566,1
695734,6
607208,5
660271,1
666182,6
669364,0
646240,2
656941,1
668227,5
701398,1
645277,6
650333,6
691718,4
805808,3
678246,3
672640,5
518692,1
682985,1
665487,5
666176,4
681624,4
668930,1
664023,1
682928,4
572233,4
642715,2
691406,1
656305,0
676475,4
641355,3
669127,4
647304,5
607043,4
686469,3
606466,4
702284,6
802139,3
547180,1
691023,4
677800,4
663656,3
666018,1
665489,0
682998,1
805367,0
805300,3
664040,2
663586,2
661388,0
672960,2
665833,1
676391,6
691016,3
650490,0
680776,4
672695,0
592518,4
695657,2
701538,4
543760,3
673962,0
670623,3
672580,0
575929,4
669394,4
696100,2
700250,1
521692,6
605137,4
665862,5
681198,0
680757,0
800050,3
679529,2
669477,6
621439,4
701358,4
686797,6
668715,3
664761,0
689414,0
693307,4
807712,0
693304,0
663757,3
643289,6
701807,5
802415,0
691026,0
592450,1
680574,3
666969,2
621020,2
593428,5
682829,1
677587,5
808982,0
687462,3
678882,6
671739,4
678662,4
571448,3
669016,4
687859,6
571970,1
808959,1
641343,1
665926,6
682657,6
624585,2
695600,2
686217,0
681082,5
695506,1
545121,6
662139,6
673548,3
660670,1
683146,4
641487,3
656775,3
696285,0
686555,3
668885,0
691720,3
669357,2
694497,3
643446,0
656811,4
650489,4
665742,1
657757,3
683083,5
677649,4
665019,4
671277,6
694384,0
643217,2
672724,5
702332,0
686948,1
543807,3
669003,1
681393,2
514888,0
700932,2
665750,3
668939,3
694212,4
702222,5
592626,1
660821,4
668901,4
804606,5
542303,2
657656,4
676609,5
670042,2
650859,0
608369,1
803011,0
606192,2
690993,0
667670,2
669065,2
663616,3
669257,3
678554,3
609280,6
573262,3
656555,2
691785,0
663886,3
682177,4
663837,0
691723,2
666152,5
680869,2
671976,6
664983,5
605170,0
666397,1
683357,2
650402,0
671732,4
641857,4
608348,0
666126,0
687363,5
664728,6
663728,2
670764,3
669236,6
668709,3
672515,3
686527,4
670770,3
592663,0
691781,4
699912,5
596115,4
805779,6
671218,4
694728,2
683953,5
701675,6
592885,5
663743,6
672761,0
502671,4
663993,3
553993,2
669224,2
694208,4
681297,2
687401,0
642086,6
677942,5
691594,6
671289,0
666160,4
681351,4
680700,5
810938,0
694192,4
686681,6
657041,3
656716,0
605141,3
543877,6
690976,2
681481,2
700337,4
687093,0
687551,0
663968,5
678391,0
678218,3
807799,0
680777,3
668904,2
665161,0
660688,6
672275,4
681715,4
680779,3
664034,4
643376,3
682626,4
666023,0
621043,4
680728,2
677588,2
641933,2
670242,2
666139,2
687231,0
686780,6
656484,4
687221,2
808975,5
596142,3
665966,4
701350,1
660162,2
682663,5
669707,0
663647,0
682668,5
620443,6
664770,6
682818,4
676356,5
543309,2
664702,0
814439,2
686668,5
592206,4
500743,0
660844,3
691777,4
686452,0
687637,3
669004,2
668723,3
694671,4
665804,3
643396,0
805811,1
667472,3
672820,6
679845,0
805999,5
676694,6
630105,0
666181,2
624641,6
642708,4
664056,4
694362,5
696030,0
678489,2
655316,3
681807,2
624424,1
807713,6
669701,3
595978,0
641598,2
673237,6
683734,0
596019,3
621438,6
664954,6
665877,0
669743,0
691788,4
666971,6
680977,0
677950,6
703607,5
702616,5
683011,4
687597,2
663457,3
663697,3
457705,3
593871,3
676572,4
672386,0
666158,0
680718,4
596146,3
467793,3
672356,4
527038,0
624428,0
502054,0
595879,6
641680,4
673357,5
691176,5
669397,0
669720,4
666310,3
666134,2
602104,4
643565,3
669242,0
595777,3
682622,4
663624,4
676059,4
578428,0
663853,4
669911,2
669221,2
663698,3
649966,0
516782,4
681460,4
669289,0
700242,2
572191,2
686611,5
642133,4
666624,2
624431,6
571657,6
691019,2
695336,4
545341,4
656976,1
656180,2
647351,6
553869,2
519317,1
642201,5
692225,0
571771,4
664238,2
666149,5
664774,3
666185,3
672744,2
518595,2
676914,1
694374,5
623993,2
671221,5
805249,4
670224,2
641584,3
606115,6
680474,0
678009,3
657077,0
668942,3
608701,1
805373,0
657557,2
690022,5
690987,4
645444,0
570482,6
628451,0
673490,3
683766,4
457759,3
642136,3
657136,0
688363,3
695681,2
677595,4
682641,6
664059,5
456781,6
669261,2
670156,0
670231,5
623168,6
679032,5
663368,5
650968,6
677008,4
642731,6
455117,2
596103,4
672016,5
678877,4
702176,0
663330,1
669326,5
656537,4
695238,0
663604,5
681546,2
